"表題：","都道府県・市区町村のすがた（社会・人口統計体系）"
"公開日：","2025年10月31日"

"","","","","/項目 コード","C610101","C610102","C610103","C610105","C610106","C610107","C6301"
"調査年 コード","調査年","地域 コード","地域","/項目","C610101_売上金額（民営）（農林漁業）【百万円】","C610102_売上金額（民営）（農業、林業）【百万円】","C610103_売上金額（民営）（漁業）【百万円】","C610105_売上金額（民営）（鉱業、採石業、砂利採取業）【百万円】","C610106_売上金額（民営）（建設業）【百万円】","C610107_売上金額（民営）（製造業）【百万円】","C6301_売上高（サービス産業）【百万円】"
"2020100000","2020年度","01000","北海道","","854,232","788,649","61,845","52,656","4,657,324","6,168,572","***"
"2020100000","2020年度","02000","青森県","","165,785","148,823","16,962","10,389","957,397","1,816,227","***"
"2020100000","2020年度","03000","岩手県","","191,237","177,657","12,743","17,104","1,006,349","2,645,780","***"
"2020100000","2020年度","04000","宮城県","","126,871","87,897","38,974","12,720","3,152,709","4,558,634","***"
"2020100000","2020年度","05000","秋田県","","99,127","97,937","1,190","12,899","732,639","1,358,946","***"
"2020100000","2020年度","06000","山形県","","81,409","80,255","1,126","5,411","779,883","2,909,747","***"
"2020100000","2020年度","07000","福島県","","98,012","89,893","8,105","10,942","1,742,500","5,092,043","***"
"2020100000","2020年度","08000","茨城県","","196,682","177,375","19,308","8,154","1,936,135","12,670,254","***"
"2020100000","2020年度","09000","栃木県","","143,067","140,395","1,575","14,035","1,361,277","8,536,084","***"
"2020100000","2020年度","10000","群馬県","","133,751","130,362","281","4,054","1,496,627","8,274,782","***"
"2020100000","2020年度","11000","埼玉県","","92,130","X","X","14,843","4,562,085","14,015,562","***"
"2020100000","2020年度","12000","千葉県","","169,955","159,312","10,469","43,618","3,671,876","12,705,299","***"
"2020100000","2020年度","13000","東京都","","69,575","66,420","3,135","13,078","22,117,131","14,922,213","***"
"2020100000","2020年度","14000","神奈川県","","71,406","57,813","9,248","5,876","5,865,323","17,531,332","***"
"2020100000","2020年度","15000","新潟県","","148,512","136,943","11,098","104,182","2,175,031","4,976,111","***"
"2020100000","2020年度","16000","富山県","","55,752","49,308","6,444","4,768","880,984","3,758,824","***"
"2020100000","2020年度","17000","石川県","","39,370","30,386","8,628","3,297","1,059,313","2,796,102","***"
"2020100000","2020年度","18000","福井県","","28,220","26,144","2,076","3,684","864,944","2,246,200","***"
"2020100000","2020年度","19000","山梨県","","26,806","25,769","1,037","9,034","553,938","2,781,397","***"
"2020100000","2020年度","20000","長野県","","127,649","126,214","1,408","6,051","1,598,660","6,325,659","***"
"2020100000","2020年度","21000","岐阜県","","86,994","84,743","2,018","11,939","1,533,758","5,924,742","***"
"2020100000","2020年度","22000","静岡県","","132,147","94,423","36,383","13,729","2,603,790","17,613,504","***"
"2020100000","2020年度","23000","愛知県","","157,478","151,618","5,859","12,428","7,019,920","47,773,904","***"
"2020100000","2020年度","24000","三重県","","95,504","71,958","23,546","12,773","1,237,200","10,749,843","***"
"2020100000","2020年度","25000","滋賀県","","46,396","45,385","880","1,437","861,263","7,859,339","***"
"2020100000","2020年度","26000","京都府","","37,961","35,106","2,855","5,664","1,470,843","5,753,093","***"
"2020100000","2020年度","27000","大阪府","","22,374","19,115","3,259","4,055","10,085,778","20,276,686","***"
"2020100000","2020年度","28000","兵庫県","","113,390","105,493","7,897","7,717","3,184,156","16,269,611","***"
"2020100000","2020年度","29000","奈良県","","14,889","X","X","8,931","566,724","1,848,502","***"
"2020100000","2020年度","30000","和歌山県","","34,535","24,366","10,169","2,566","655,321","2,503,810","***"
"2020100000","2020年度","31000","鳥取県","","53,921","35,294","18,448","725","373,184","812,076","***"
"2020100000","2020年度","32000","島根県","","66,696","54,860","11,753","4,714","533,047","1,214,072","***"
"2020100000","2020年度","33000","岡山県","","97,683","97,166","517","7,778","1,559,543","7,351,533","***"
"2020100000","2020年度","34000","広島県","","103,470","82,896","10,973","2,702","2,656,664","9,393,454","***"
"2020100000","2020年度","35000","山口県","","39,704","33,826","5,878","22,755","1,003,706","5,812,841","***"
"2020100000","2020年度","36000","徳島県","","46,027","39,423","6,604","3,949","468,168","1,869,347","***"
"2020100000","2020年度","37000","香川県","","69,986","62,258","7,729","3,514","917,696","2,690,966","***"
"2020100000","2020年度","38000","愛媛県","","109,331","64,117","44,850","2,549","921,473","3,968,275","***"
"2020100000","2020年度","39000","高知県","","53,809","28,110","25,699","19,295","483,170","593,635","***"
"2020100000","2020年度","40000","福岡県","","99,397","95,819","3,318","17,208","4,878,076","9,555,947","***"
"2020100000","2020年度","41000","佐賀県","","48,680","45,564","3,107","3,464","584,936","2,093,536","***"
"2020100000","2020年度","42000","長崎県","","105,818","47,017","58,747","12,685","842,708","1,737,184","***"
"2020100000","2020年度","43000","熊本県","","155,811","136,708","19,103","4,688","1,225,060","3,001,899","***"
"2020100000","2020年度","44000","大分県","","104,871","81,156","23,699","32,791","818,863","3,946,513","***"
"2020100000","2020年度","45000","宮崎県","","251,912","208,926","42,746","1,259","706,700","1,736,273","***"
"2020100000","2020年度","46000","鹿児島県","","609,253","519,853","89,392","53,347","1,065,910","2,110,652","***"
"2020100000","2020年度","47000","沖縄県","","32,116","28,020","4,096","21,581","1,177,853","536,252","***"
"2017100000","2017年度","01000","北海道","","***","***","***","***","***","***","12,351,079"
"2017100000","2017年度","02000","青森県","","***","***","***","***","***","***","2,332,761"
"2017100000","2017年度","03000","岩手県","","***","***","***","***","***","***","2,238,403"
"2017100000","2017年度","04000","宮城県","","***","***","***","***","***","***","5,224,530"
"2017100000","2017年度","05000","秋田県","","***","***","***","***","***","***","1,667,215"
"2017100000","2017年度","06000","山形県","","***","***","***","***","***","***","1,571,501"
"2017100000","2017年度","07000","福島県","","***","***","***","***","***","***","3,600,160"
"2017100000","2017年度","08000","茨城県","","***","***","***","***","***","***","5,574,120"
"2017100000","2017年度","09000","栃木県","","***","***","***","***","***","***","4,073,882"
"2017100000","2017年度","10000","群馬県","","***","***","***","***","***","***","3,516,114"
"2017100000","2017年度","11000","埼玉県","","***","***","***","***","***","***","12,718,073"
"2017100000","2017年度","12000","千葉県","","***","***","***","***","***","***","13,290,785"
"2017100000","2017年度","13000","東京都","","***","***","***","***","***","***","82,799,561"
"2017100000","2017年度","14000","神奈川県","","***","***","***","***","***","***","19,961,451"
"2017100000","2017年度","15000","新潟県","","***","***","***","***","***","***","4,048,454"
"2017100000","2017年度","16000","富山県","","***","***","***","***","***","***","1,795,477"
"2017100000","2017年度","17000","石川県","","***","***","***","***","***","***","2,203,727"
"2017100000","2017年度","18000","福井県","","***","***","***","***","***","***","1,313,311"
"2017100000","2017年度","19000","山梨県","","***","***","***","***","***","***","1,344,069"
"2017100000","2017年度","20000","長野県","","***","***","***","***","***","***","3,396,630"
"2017100000","2017年度","21000","岐阜県","","***","***","***","***","***","***","3,249,773"
"2017100000","2017年度","22000","静岡県","","***","***","***","***","***","***","7,125,142"
"2017100000","2017年度","23000","愛知県","","***","***","***","***","***","***","19,202,602"
"2017100000","2017年度","24000","三重県","","***","***","***","***","***","***","3,563,100"
"2017100000","2017年度","25000","滋賀県","","***","***","***","***","***","***","2,103,910"
"2017100000","2017年度","26000","京都府","","***","***","***","***","***","***","4,697,210"
"2017100000","2017年度","27000","大阪府","","***","***","***","***","***","***","27,176,491"
"2017100000","2017年度","28000","兵庫県","","***","***","***","***","***","***","11,428,597"
"2017100000","2017年度","29000","奈良県","","***","***","***","***","***","***","1,516,050"
"2017100000","2017年度","30000","和歌山県","","***","***","***","***","***","***","1,444,044"
"2017100000","2017年度","31000","鳥取県","","***","***","***","***","***","***","958,343"
"2017100000","2017年度","32000","島根県","","***","***","***","***","***","***","1,209,052"
"2017100000","2017年度","33000","岡山県","","***","***","***","***","***","***","3,856,457"
"2017100000","2017年度","34000","広島県","","***","***","***","***","***","***","5,713,971"
"2017100000","2017年度","35000","山口県","","***","***","***","***","***","***","2,433,464"
"2017100000","2017年度","36000","徳島県","","***","***","***","***","***","***","1,113,774"
"2017100000","2017年度","37000","香川県","","***","***","***","***","***","***","1,950,666"
"2017100000","2017年度","38000","愛媛県","","***","***","***","***","***","***","2,197,759"
"2017100000","2017年度","39000","高知県","","***","***","***","***","***","***","1,073,779"
"2017100000","2017年度","40000","福岡県","","***","***","***","***","***","***","11,844,026"
"2017100000","2017年度","41000","佐賀県","","***","***","***","***","***","***","1,381,203"
"2017100000","2017年度","42000","長崎県","","***","***","***","***","***","***","1,868,006"
"2017100000","2017年度","43000","熊本県","","***","***","***","***","***","***","2,836,825"
"2017100000","2017年度","44000","大分県","","***","***","***","***","***","***","1,646,467"
"2017100000","2017年度","45000","宮崎県","","***","***","***","***","***","***","1,577,885"
"2017100000","2017年度","46000","鹿児島県","","***","***","***","***","***","***","2,366,446"
"2017100000","2017年度","47000","沖縄県","","***","***","***","***","***","***","2,025,025"
"2016100000","2016年度","01000","北海道","","***","***","***","***","***","***","12,491,839"
