"表題：","都道府県・市区町村のすがた（社会・人口統計体系）"
"公開日：","2025年02月21日"

"","","","","/項目 コード","F1102","F1107"
"調査年 コード","調査年","地域 コード","地域","/項目","F1102_就業者数【人】","F1107_完全失業者数【人】"
"2020100000","2020年度","01000","北海道","","2,347,270","102,125"
"2020100000","2020年度","02000","青森県","","602,391","29,305"
"2020100000","2020年度","03000","岩手県","","605,093","23,788"
"2020100000","2020年度","04000","宮城県","","1,081,348","48,923"
"2020100000","2020年度","05000","秋田県","","463,894","19,606"
"2020100000","2020年度","06000","山形県","","540,922","19,030"
"2020100000","2020年度","07000","福島県","","872,045","37,445"
"2020100000","2020年度","08000","茨城県","","1,362,944","55,136"
"2020100000","2020年度","09000","栃木県","","926,595","39,193"
"2020100000","2020年度","10000","群馬県","","949,945","37,569"
"2020100000","2020年度","11000","埼玉県","","3,386,880","139,773"
"2020100000","2020年度","12000","千葉県","","2,862,135","114,208"
"2020100000","2020年度","13000","東京都","","5,962,306","225,277"
"2020100000","2020年度","14000","神奈川県","","4,153,054","158,817"
"2020100000","2020年度","15000","新潟県","","1,084,410","40,991"
"2020100000","2020年度","16000","富山県","","528,961","16,719"
"2020100000","2020年度","17000","石川県","","560,133","19,618"
"2020100000","2020年度","18000","福井県","","395,765","11,701"
"2020100000","2020年度","19000","山梨県","","398,578","16,325"
"2020100000","2020年度","20000","長野県","","1,034,281","35,335"
"2020100000","2020年度","21000","岐阜県","","972,728","33,606"
"2020100000","2020年度","22000","静岡県","","1,817,048","71,299"
"2020100000","2020年度","23000","愛知県","","3,605,438","123,314"
"2020100000","2020年度","24000","三重県","","845,768","27,190"
"2020100000","2020年度","25000","滋賀県","","666,602","23,241"
"2020100000","2020年度","26000","京都府","","1,086,427","46,305"
"2020100000","2020年度","27000","大阪府","","3,635,394","172,909"
"2020100000","2020年度","28000","兵庫県","","2,377,454","99,533"
"2020100000","2020年度","29000","奈良県","","573,513","24,643"
"2020100000","2020年度","30000","和歌山県","","428,780","17,266"
"2020100000","2020年度","31000","鳥取県","","269,353","9,706"
"2020100000","2020年度","32000","島根県","","332,592","9,286"
"2020100000","2020年度","33000","岡山県","","867,759","32,868"
"2020100000","2020年度","34000","広島県","","1,318,328","46,576"
"2020100000","2020年度","35000","山口県","","620,702","22,276"
"2020100000","2020年度","36000","徳島県","","328,286","14,414"
"2020100000","2020年度","37000","香川県","","443,196","16,093"
"2020100000","2020年度","38000","愛媛県","","601,302","23,343"
"2020100000","2020年度","39000","高知県","","308,565","13,074"
"2020100000","2020年度","40000","福岡県","","2,253,134","107,974"
"2020100000","2020年度","41000","佐賀県","","400,264","14,977"
"2020100000","2020年度","42000","長崎県","","617,707","24,463"
"2020100000","2020年度","43000","熊本県","","819,259","33,316"
