表題：,都道府県・市区町村のすがた（社会・人口統計体系）
公開日：,2025年10月31日

***,***,***,***,/項目 コード,A1101,C1224,D310412
調査年 コード,調査年,地域 コード,地域,/項目,A1101_総人口【人】,C1224_企業所得（平成27年基準）【百万円】,D310412_貸付金（都道府県財政）【千円】,貸出金【億円】
2024100000,2024年度,1000,北海道,***,"5,043,000",***,***,1373195
2024100000,2024年度,2000,青森県,***,"1,165,000",***,***,335571
2024100000,2024年度,3000,岩手県,***,"1,145,000",***,***,359050
2024100000,2024年度,4000,宮城県,***,"2,248,000",***,***,981896
2024100000,2024年度,5000,秋田県,***,"897,000",***,***,274839
2024100000,2024年度,6000,山形県,***,"1,011,000",***,***,323456
2024100000,2024年度,7000,福島県,***,"1,743,000",***,***,492454
2024100000,2024年度,8000,茨城県,***,"2,806,000",***,***,774062
2024100000,2024年度,9000,栃木県,***,"1,885,000",***,***,615058
2024100000,2024年度,10000,群馬県,***,"1,890,000",***,***,576918
2024100000,2024年度,11000,埼玉県,***,"7,332,000",***,***,2118946
2024100000,2024年度,12000,千葉県,***,"6,251,000",***,***,2007765
2024100000,2024年度,13000,東京都,***,"14,178,000",***,***,32484630
2024100000,2024年度,14000,神奈川県,***,"9,225,000",***,***,2617644
2024100000,2024年度,15000,新潟県,***,"2,099,000",***,***,601210
2024100000,2024年度,16000,富山県,***,"997,000",***,***,407765
2024100000,2024年度,17000,石川県,***,"1,098,000",***,***,401410
2024100000,2024年度,18000,福井県,***,"739,000",***,***,262865
2024100000,2024年度,19000,山梨県,***,"791,000",***,***,179810
2024100000,2024年度,20000,長野県,***,"1,987,000",***,***,454329
2024100000,2024年度,21000,岐阜県,***,"1,916,000",***,***,433552
2024100000,2024年度,22000,静岡県,***,"3,527,000",***,***,1197285
2024100000,2024年度,23000,愛知県,***,"7,460,000",***,***,3213234
2024100000,2024年度,24000,三重県,***,"1,711,000",***,***,494788
2024100000,2024年度,25000,滋賀県,***,"1,402,000",***,***,472939
2024100000,2024年度,26000,京都府,***,"2,520,000",***,***,918375
2024100000,2024年度,27000,大阪府,***,"8,757,000",***,***,5604330
2024100000,2024年度,28000,兵庫県,***,"5,337,000",***,***,1466652
2024100000,2024年度,29000,奈良県,***,"1,285,000",***,***,331818
2024100000,2024年度,30000,和歌山県,***,"880,000",***,***,227306
2024100000,2024年度,31000,鳥取県,***,"531,000",***,***,185019
2024100000,2024年度,32000,島根県,***,"642,000",***,***,175184
2024100000,2024年度,33000,岡山県,***,"1,831,000",***,***,847186
2024100000,2024年度,34000,広島県,***,"2,714,000",***,***,1448100
2024100000,2024年度,35000,山口県,***,"1,281,000",***,***,467087
2024100000,2024年度,36000,徳島県,***,"685,000",***,***,281130
2024100000,2024年度,37000,香川県,***,"917,000",***,***,390076
2024100000,2024年度,38000,愛媛県,***,"1,276,000",***,***,939107
2024100000,2024年度,39000,高知県,***,"656,000",***,***,197381
2024100000,2024年度,40000,福岡県,***,"5,092,000",***,***,2759299
2024100000,2024年度,41000,佐賀県,***,"788,000",***,***,181080
2024100000,2024年度,42000,長崎県,***,"1,252,000",***,***,358673
2024100000,2024年度,43000,熊本県,***,"1,697,000",***,***,630846
2024100000,2024年度,44000,大分県,***,"1,085,000",***,***,328835
2024100000,2024年度,45000,宮崎県,***,"1,033,000",***,***,338200
