データコード,MD12'DLTYK215_DLTYDB1TL14,MD12'DLTYK215_DLTYDB2AM14,MD12'DLTYK215_DLTYDB2IT14,MD12'DLTYK215_DLTYDB2MG14,MD12'DLTYK215_DLTYDB2AT14,MD12'DLTYK215_DLTYDB2YG14,MD12'DLTYK215_DLTYDB2FS14,MD12'DLTYK215_DLTYDB3IR14,MD12'DLTYK215_DLTYDB3TG14,MD12'DLTYK215_DLTYDB3GM14,MD12'DLTYK215_DLTYDB3ST14,MD12'DLTYK215_DLTYDB3CB14,MD12'DLTYK215_DLTYDB3TK14,MD12'DLTYK215_DLTYDB3KG14,MD12'DLTYK215_DLTYDB4NG14,MD12'DLTYK215_DLTYDB4TM14,MD12'DLTYK215_DLTYDB4IK14,MD12'DLTYK215_DLTYDB4FI14,MD12'DLTYK215_DLTYDB5YN14,MD12'DLTYK215_DLTYDB5NN14,MD12'DLTYK215_DLTYDB5GF14,MD12'DLTYK215_DLTYDB5SO14,MD12'DLTYK215_DLTYDB5AC14,MD12'DLTYK215_DLTYDB5ME14,MD12'DLTYK215_DLTYDB6SG14,MD12'DLTYK215_DLTYDB6KT14,MD12'DLTYK215_DLTYDB6OS14,MD12'DLTYK215_DLTYDB6HG14,MD12'DLTYK215_DLTYDB6NR14,MD12'DLTYK215_DLTYDB6WY14,MD12'DLTYK215_DLTYDB7TT14,MD12'DLTYK215_DLTYDB7SN14,MD12'DLTYK215_DLTYDB7OY14,MD12'DLTYK215_DLTYDB7HS14,MD12'DLTYK215_DLTYDB7YM14,MD12'DLTYK215_DLTYDB8TS14,MD12'DLTYK215_DLTYDB8KW14,MD12'DLTYK215_DLTYDB8EM14,MD12'DLTYK215_DLTYDB8KC14,MD12'DLTYK215_DLTYDB9FO14,MD12'DLTYK215_DLTYDB9SA14,MD12'DLTYK215_DLTYDB9NS14,MD12'DLTYK215_DLTYDB9KM14,MD12'DLTYK215_DLTYDB9OT14,MD12'DLTYK215_DLTYDB9MZ14,MD12'DLTYK215_DLTYDB9KS14,MD12'DLTYK215_DLTYDB9ON14
系列名称,"北海道／全国計／貸出金／国内銀行","青森／東北計／全国計／貸出金／国内銀行","岩手／東北計／全国計／貸出金／国内銀行","宮城／東北計／全国計／貸出金／国内銀行","秋田／東北計／全国計／貸出金／国内銀行","山形／東北計／全国計／貸出金／国内銀行","福島／東北計／全国計／貸出金／国内銀行","茨城／関東計／全国計／貸出金／国内銀行","栃木／関東計／全国計／貸出金／国内銀行","群馬／関東計／全国計／貸出金／国内銀行","埼玉／関東計／全国計／貸出金／国内銀行","千葉／関東計／全国計／貸出金／国内銀行","東京／関東計／全国計／貸出金／国内銀行","神奈川／関東計／全国計／貸出金／国内銀行","新潟／北陸計／全国計／貸出金／国内銀行","富山／北陸計／全国計／貸出金／国内銀行","石川／北陸計／全国計／貸出金／国内銀行","福井／北陸計／全国計／貸出金／国内銀行","山梨／中部計／全国計／貸出金／国内銀行","長野／中部計／全国計／貸出金／国内銀行","岐阜／中部計／全国計／貸出金／国内銀行","静岡／中部計／全国計／貸出金／国内銀行","愛知／中部計／全国計／貸出金／国内銀行","三重／中部計／全国計／貸出金／国内銀行","滋賀／近畿計／全国計／貸出金／国内銀行","京都／近畿計／全国計／貸出金／国内銀行","大阪／近畿計／全国計／貸出金／国内銀行","兵庫／近畿計／全国計／貸出金／国内銀行","奈良／近畿計／全国計／貸出金／国内銀行","和歌山／近畿計／全国計／貸出金／国内銀行","鳥取／中国計／全国計／貸出金／国内銀行","島根／中国計／全国計／貸出金／国内銀行","岡山／中国計／全国計／貸出金／国内銀行","広島／中国計／全国計／貸出金／国内銀行","山口／中国計／全国計／貸出金／国内銀行","徳島／四国計／全国計／貸出金／国内銀行","香川／四国計／全国計／貸出金／国内銀行","愛媛／四国計／全国計／貸出金／国内銀行","高知／四国計／全国計／貸出金／国内銀行","福岡／九州・沖縄計／全国計／貸出金／国内銀行","佐賀／九州・沖縄計／全国計／貸出金／国内銀行","長崎／九州・沖縄計／全国計／貸出金／国内銀行","熊本／九州・沖縄計／全国計／貸出金／国内銀行","大分／九州・沖縄計／全国計／貸出金／国内銀行","宮崎／九州・沖縄計／全国計／貸出金／国内銀行","鹿児島／九州・沖縄計／全国計／貸出金／国内銀行","沖縄／九州・沖縄計／全国計／貸出金／国内銀行"
1975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1263067,292416,224382,657230,227316,238950,395160,626389,544317,485226,1501026,1461530,23921083,2374186,591311,345412,358888,203811,161841,470379,478319,880672,2334674,432725,294984,864161,6678055,1501541,328665,230946,140013,124013,476134,981860,314267,249842,363882,439570,186555,1904161,150811,374344,359288,246992,179849,284060,253585
