データコード,MD12'DLTYK209_DLTYDB1TL1,MD12'DLTYK209_DLTYDB2AM1,MD12'DLTYK209_DLTYDB2IT1,MD12'DLTYK209_DLTYDB2MG1,MD12'DLTYK209_DLTYDB2AT1,MD12'DLTYK209_DLTYDB2YG1,MD12'DLTYK209_DLTYDB2FS1,MD12'DLTYK209_DLTYDB3IR1,MD12'DLTYK209_DLTYDB3TG1,MD12'DLTYK209_DLTYDB3GM1,MD12'DLTYK209_DLTYDB3ST1,MD12'DLTYK209_DLTYDB3CB1,MD12'DLTYK209_DLTYDB3TK1,MD12'DLTYK209_DLTYDB3KG1,MD12'DLTYK209_DLTYDB4NG1,MD12'DLTYK209_DLTYDB4TM1,MD12'DLTYK209_DLTYDB4IK1,MD12'DLTYK209_DLTYDB4FI1,MD12'DLTYK209_DLTYDB5YN1,MD12'DLTYK209_DLTYDB5NN1,MD12'DLTYK209_DLTYDB5GF1,MD12'DLTYK209_DLTYDB5SO1,MD12'DLTYK209_DLTYDB5AC1,MD12'DLTYK209_DLTYDB5ME1,MD12'DLTYK209_DLTYDB6SG1,MD12'DLTYK209_DLTYDB6KT1,MD12'DLTYK209_DLTYDB6OS1,MD12'DLTYK209_DLTYDB6HG1,MD12'DLTYK209_DLTYDB6NR1,MD12'DLTYK209_DLTYDB6WY1,MD12'DLTYK209_DLTYDB7TT1,MD12'DLTYK209_DLTYDB7SN1,MD12'DLTYK209_DLTYDB7OY1,MD12'DLTYK209_DLTYDB7HS1,MD12'DLTYK209_DLTYDB7YM1,MD12'DLTYK209_DLTYDB8TS1,MD12'DLTYK209_DLTYDB8KW1,MD12'DLTYK209_DLTYDB8EM1,MD12'DLTYK209_DLTYDB8KC1,MD12'DLTYK209_DLTYDB9FO1,MD12'DLTYK209_DLTYDB9SA1,MD12'DLTYK209_DLTYDB9NS1,MD12'DLTYK209_DLTYDB9KM1,MD12'DLTYK209_DLTYDB9OT1,MD12'DLTYK209_DLTYDB9MZ1,MD12'DLTYK209_DLTYDB9KS1,MD12'DLTYK209_DLTYDB9ON1
系列名称,"北海道／全国計／預金合計／国内銀行","青森／東北計／全国計／預金合計／国内銀行","岩手／東北計／全国計／預金合計／国内銀行","宮城／東北計／全国計／預金合計／国内銀行","秋田／東北計／全国計／預金合計／国内銀行","山形／東北計／全国計／預金合計／国内銀行","福島／東北計／全国計／預金合計／国内銀行","茨城／関東計／全国計／預金合計／国内銀行","栃木／関東計／全国計／預金合計／国内銀行","群馬／関東計／全国計／預金合計／国内銀行","埼玉／関東計／全国計／預金合計／国内銀行","千葉／関東計／全国計／預金合計／国内銀行","東京／関東計／全国計／預金合計／国内銀行","神奈川／関東計／全国計／預金合計／国内銀行","新潟／北陸計／全国計／預金合計／国内銀行","富山／北陸計／全国計／預金合計／国内銀行","石川／北陸計／全国計／預金合計／国内銀行","福井／北陸計／全国計／預金合計／国内銀行","山梨／中部計／全国計／預金合計／国内銀行","長野／中部計／全国計／預金合計／国内銀行","岐阜／中部計／全国計／預金合計／国内銀行","静岡／中部計／全国計／預金合計／国内銀行","愛知／中部計／全国計／預金合計／国内銀行","三重／中部計／全国計／預金合計／国内銀行","滋賀／近畿計／全国計／預金合計／国内銀行","京都／近畿計／全国計／預金合計／国内銀行","大阪／近畿計／全国計／預金合計／国内銀行","兵庫／近畿計／全国計／預金合計／国内銀行","奈良／近畿計／全国計／預金合計／国内銀行","和歌山／近畿計／全国計／預金合計／国内銀行","鳥取／中国計／全国計／預金合計／国内銀行","島根／中国計／全国計／預金合計／国内銀行","岡山／中国計／全国計／預金合計／国内銀行","広島／中国計／全国計／預金合計／国内銀行","山口／中国計／全国計／預金合計／国内銀行","徳島／四国計／全国計／預金合計／国内銀行","香川／四国計／全国計／預金合計／国内銀行","愛媛／四国計／全国計／預金合計／国内銀行","高知／四国計／全国計／預金合計／国内銀行","福岡／九州・沖縄計／全国計／預金合計／国内銀行","佐賀／九州・沖縄計／全国計／預金合計／国内銀行","長崎／九州・沖縄計／全国計／預金合計／国内銀行","熊本／九州・沖縄計／全国計／預金合計／国内銀行","大分／九州・沖縄計／全国計／預金合計／国内銀行","宮崎／九州・沖縄計／全国計／預金合計／国内銀行","鹿児島／九州・沖縄計／全国計／預金合計／国内銀行","沖縄／九州・沖縄計／全国計／預金合計／国内銀行"
1975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
